LinkID,LinkName,AirportCode,NodeNameFrom,NodeNameTo,Length,MaxSpeed,MinimumAircraftSeparationDistance,LinkTypeID,RunwayAssociation
10001,10/28.01_T.SG.01,ATL,10/28.01,T.SG.01,172.2536071,20,200,10,null
10002,10/28.03_T.SG2.01,ATL,10/28.03,T.SG2.01,183.8163059,20,200,10,null
10003,10/28.04_T.SG4.02,ATL,10/28.04,T.SG4.02,351.9298793,20,200,10,null
10069,10/28.05_T.SG6.02,ATL,10/28.05,T.SG6.02,649.9835015,20,200,10,null
10075,10/28.06_T.SG12.03,ATL,10/28.06,T.SG12.03,384.6810989,20,200,10,null
10080,10/28.07_T.SG14.03,ATL,10/28.07,T.SG14.03,454.1533989,20,200,10,null
10085,10/28.08_T.SG16.02,ATL,10/28.08,T.SG16.02,122.5507706,20,200,10,null
10086,10/28.02_T.SG.19,ATL,10/28.02,T.SG.19,126.3375356,20,200,10,null
10134,09R/27L.01_T.R.01,ATL,09R/27L.01,T.R.01,205.0373709,20,200,10,null
10138,09R/27L.03_T.R3.01,ATL,09R/27L.03,T.R3.01,92.47335137,20,200,10,null
10144,09R/27L.06_T.SC.11,ATL,09R/27L.06,T.SC.11,222.8604799,20,200,10,null
10150,09R/27L.08_T.R7.01,ATL,09R/27L.08,T.R7.01,270.3789141,20,200,10,null
10161,09R/27L.10_T.R11.01,ATL,09R/27L.10,T.R11.01,284.0738299,20,200,10,null
10179,09R/27L.02_T.R.20,ATL,09R/27L.02,T.R.20,228.4957675,20,200,10,null
10181,09R/27L.01_T.P.04,ATL,09R/27L.01,T.P.04,113.3857003,20,200,10,null
10183,09L/27R.01_T.P.01,ATL,09L/27R.01,T.P.01,97.20762718,20,200,10,null
10189,09R/27L.03_T.N2.02,ATL,09R/27L.03,T.N2.02,152.266171,20,200,10,null
10191,09R/27L.04_T.N2.02,ATL,09R/27L.04,T.N2.02,501.9724902,20,200,10,null
10195,09L/27R.04_T.T.01,ATL,09L/27R.04,T.T.01,214.305363,20,200,10,null
10200,09L/27R.06_T.N5.01,ATL,09L/27R.06,T.N5.01,259.4240685,20,200,10,null
10201,09R/27L.05_T.N4.01,ATL,09R/27L.05,T.N4.01,756.8841859,20,200,10,null
10202,09R/27L.06_T.SC.12,ATL,09R/27L.06,T.SC.12,480.6514622,20,200,10,null
10213,09L/27R.07_T.U.01,ATL,09L/27R.07,T.U.01,275.7043597,20,200,10,null
10221,09R/27L.07_T.N6.01,ATL,09R/27L.07,T.N6.01,393.1509897,20,200,10,null
10222,09R/27L.08_T.N6.01,ATL,09R/27L.08,T.N6.01,165.7478577,20,200,10,null
10226,09L/27R.09_T.S.01,ATL,09L/27R.09,T.S.01,247.3820358,20,200,10,null
10233,09R/27L.09_T.N10.01,ATL,09R/27L.09,T.N10.01,381.1526571,20,200,10,null
10234,09R/27L.10_T.N10.01,ATL,09R/27L.10,T.N10.01,131.5801412,20,200,10,null
10241,09L/27R.11_T.D.01,ATL,09L/27R.11,T.D.01,259.1908926,20,200,10,null
10244,09L/27R.12_T.N.18,ATL,09L/27R.12,T.N.18,404.4090716,20,200,10,null
10245,09L/27R.13_T.N.19,ATL,09L/27R.13,T.N.19,404.6300691,20,200,10,null
10248,09R/27L.11_T.K.01,ATL,09R/27L.11,T.K.01,173.2443555,20,200,10,null
10250,09R/27L.12_T.J.01,ATL,09R/27L.12,T.J.01,207.562758,20,200,10,null
10251,09R/27L.02_T.N12.01,ATL,09R/27L.02,T.N12.01,429.8567855,20,200,10,null
10253,09L/27R.14_T.N13.01,ATL,09L/27R.14,T.N13.01,324.0066088,20,200,10,null
10312,08L/26R.02_T.A.23,ATL,08L/26R.02,T.A.23,331.2789292,20,200,10,null
10331,08L/26R.10_T.A6.01,ATL,08L/26R.10,T.A6.01,301.3832555,20,200,10,null
10333,08L/26R.08_T.D.20,ATL,08L/26R.08,T.D.20,102.463456,20,200,10,null
10334,08L/26R.09_T.D.20,ATL,08L/26R.09,T.D.20,146.0479995,20,200,10,null
10335,08L/26R.07_T.D.20,ATL,08L/26R.07,T.D.20,154.3327559,20,200,10,null
