exitID,lat,longUpper,longLower
0,39.1854162501,-76.6811984048,-76.6805968095
1,39.1867554822,-76.6644984048,-76.6639031905
2,39.1874995001,-76.6635,-76.6628984048
3,39.1836306072,-76.6614968095,-76.6609015953
4,39.1842258215,-76.6603,-76.6595
5,39.1830353929,-76.6593015953,-76.6587
6,39.1811009464,-76.6771984048,-76.6766031905
7,39.18124975,-76.6593015953,-76.6587
8,39.1802081249,-76.6566968095,-76.6559031905
9,39.1776784642,-76.6762,-76.6755984048
10,39.1776784642,-76.6741968095,-76.6736015953
11,39.1776784642,-76.6638968095,-76.6631031905
12,39.1770832499,-76.6619,-76.6611
13,39.1794641071,-76.6603,-76.6595
14,39.1782736785,-76.6564984048,-76.6559031905
15,39.1770832499,-76.6535968095,-76.6528031905
16,39.1761904284,-76.6548,-76.654
17,39.175297607,-76.6889,-76.6881
18,39.175297607,-76.6876968095,-76.6865
19,39.1747023927,-76.6820968095,-76.6806031905
20,39.1744047855,-76.6757968095,-76.6750031905
21,39.1748511962,-76.6715984048,-76.6709968095
22,39.1741071784,-76.6693968095,-76.6683
23,39.1744047855,-76.6663031905,-76.6655031905
24,39.1741071784,-76.6646968095,-76.6639031905
25,39.1735119641,-76.6595,-76.6587
26,39.1735119641,-76.6563,-76.6551968095
27,39.1738095712,-76.6817,-76.681
28,39.1732143569,-76.6763984048,-76.6750031905
29,39.1726191426,-76.669,-76.66726
30,39.1720239283,-76.6548,-76.654
31,39.1720239283,-76.6530015952,-76.6524
32,39.1711311069,-76.6704015953,-76.6696015953
33,39.171131107,-76.6673015952,-76.6665015952
34,39.1675598211,-76.6722,-76.6714
35,39.1671134103,-76.6649015953,-76.6641015953
36,39.164434946,-76.6627,-76.6619
37,39.1747023927,-76.6734,-76.6728
38,39.1806545357,-76.6619,-76.6611
38,39.1800593214,-76.6611,-76.6607
39,39.1806545357,-76.66032,-76.6595
