exitID,lat,longUpper,longLower
H1,33.428209,112.027499,112.026666
H2,33.428209,112.025749,112.024832
H3,33.428209,112.022499,112.020833
H4,33.428209,112.0170825,112.0162495
H5,33.428209,112.011666,112.0554115
H6,33.428209,112.0070825,112.00562475
H7,33.428209,112.00604125,112.004999
G1,33.429277,112.027499,112.026666
G2,33.429277,112.0249155,112.0245825
G3,33.429277,112.022499,112.020833
G4,33.429277,112.0170825,112.0162495
G5,33.429277,112.011666,112.0554115
G6,33.429277,112.008333,112.007499
G7,33.429277,112.005416,112.00395775
G8,33.429277,112.00354125,112.0012495
F3,33.4304525,112.027499,112.026666
F4,33.4304525,112.02462375,112.0245825
F6,33.4304525,112.0162495,112.014999
F8,33.4304525,112.009578,112.00812475
F9,33.4304525,112.00645775,112.00604125
F10,33.4304525,112.00437425,112.002916
F11,33.4304525,112.0004165,111.999167
F12,33.4304525,111.99562575,111.9945835
F13,33.4304525,111.99437525,111.99354225
E3,33.431414,112.027499,112.026666
E4,33.431414,112.02462375,112.0245825
E5,33.431414,112.020833,112.019166
E6,33.431414,112.0162495,112.014999
E7,33.431414,112.013333,112.0120825
E8,33.431414,112.00354125,112.0012495
E9,33.431414,112.00645775,112.00604125
E10,33.431414,112.00437425,112.002916
E11,33.431414,112.0004165,111.999167
E12,33.431414,111.99562575,111.9945835
E13,33.431414,111.99437525,111.99354225
B1,33.440388,112.029998,112.02895775
B2,33.440388,112.024991,112.02853025
B3,33.440388,112.0270825,112.025749
B4,33.440388,112.020833,112.019999
B5,33.440388,112.017499,112.016666
B6,33.440388,112.014166,112.013333
B7,33.440388,112.01187425,112.00979075
B8,33.440388,112.00729075,112.0070825
B9,33.440388,112.004999,112.004166
B10,33.440388,112.001666,112
B11,33.440388,111.99875,111.9979165
B12,33.440388,111.994167,111.993334
B13,33.440388,111.99229175,111.9920835
B14,33.440388,111.991667,111.99
A1,33.441029,112.029998,112.02895775
A2,33.441029,112.024991,112.02853025
A3,33.441029,112.0270825,112.025749
A4,33.441029,112.020833,112.019999
A5,33.441029,112.014166,112.013333
A6,33.441029,112.01187425,112.00979075
A7,33.441029,112.00729075,112.0070825
A8,33.441029,112.001666,112
A9,33.441029,111.99875,111.9979165
A10,33.441029,111.994167,111.993334
A11,33.441029,111.99229175,111.9920835
A12,33.441029,111.991667,111.99
