nodeID,airportCode,nodeName,latitude,longitude,diameter,nodeTypeID,runwayAssociation,spotFlag
10002,BWI,10/28N02,39.174639097467875,-76.68689689652537,150.0,60,10/28                       ,false
10006,BWI,T.F1.01,39.17540680455048,-76.68767927330383,150.0,30,                    ,false
10007,BWI,10/28N01,39.17476552783793,-76.68919284576376,150.0,60,10/28                       ,false
10008,BWI,T.F.02,39.17578289384109,-76.68887227447946,150.0,30,                    ,false
10009,BWI,10/28N03,39.17431521601597,-76.68176719655992,150.0,60,10/28                       ,false
10010,BWI,10/28N04,39.17427094588921,-76.68110076822236,150.0,60,10/28                       ,false
10011,BWI,10/28N05,39.1740249488392,-76.67687749849654,150.0,60,10/28                       ,false
10012,BWI,10/28N06,39.17398778557406,-76.67621680016403,150.0,60,10/28                       ,false
10014,BWI,10/28N08,39.17354399110898,-76.66844315680355,150.0,60,10/28                       ,false
10015,BWI,10/28N09,39.173393555862255,-76.6658612566728,150.0,60,10/28                       ,false
10016,BWI,10/28N10,39.17307669568294,-76.66032781452573,150.0,60,10/28                       ,false
10017,BWI,10/28N13,39.17265209920964,-76.65288048053094,150.0,60,10/28                       ,false
10018,BWI,10/28N12,39.1727641717773,-76.65485496935268,150.0,60,10/28                       ,false
10019,BWI,10/28N11,39.172805055162,-76.65539070767306,150.0,60,10/28                       ,false
10020,BWI,T.C.13,39.173293253338294,-76.65528147992946,150.0,30,                 ,false
10021,BWI,T.V.01,39.171958548202944,-76.65425064146811,150.0,30,                 ,false
10022,BWI,T.V.03,39.17195820189287,-76.65287433087123,150.0,30,                 ,false
10023,BWI,T.V.02,39.171566363987836,-76.6535901638962,150.0,30,                 ,false
10024,BWI,T.U1.01,39.17359779441288,-76.65900938679864,150.0,30,                 ,false
10025,BWI,T.U.03,39.17413713926925,-76.65954698513426,150.0,30,                    ,false
10026,BWI,T.U.04,39.174038829763944,-76.65794253723844,150.0,30,                    ,false
10027,BWI,T.P.14,39.17466685052903,-76.66881154875578,150.0,30,                    ,false
10001,BWI,15L/33RN01,39.18712185810841,-76.6632914521055,150.0,60,15L/33R                      ,false
10003,BWI,15L/33RN02,39.183971198383325,-76.66038199880975,150.0,60,15L/33R                      ,false
10005,BWI,15L/33RN03,39.183724688242265,-76.6601621552888,150.0,60,15L/33R                      ,false
10029,BWI,T.K.02,39.184116281170276,-76.6601267080739,150.0,30,                    ,false
10030,BWI,T.K.03,39.1838082730797,-76.66070474102587,150.0,30,                    ,false
10031,BWI,15L/33RN04,39.182855585790264,-76.65933892554125,150.0,60,15L/33R                      ,false
10032,BWI,15L/33RN05,39.18253110008196,-76.65905067966304,150.0,60,15L/33R                      ,false
10033,BWI,T.L.01,39.18283926314987,-76.65897583344345,150.0,30,                    ,false
10035,BWI,15L/33RN07,39.180085394763864,-76.65679038514153,150.0,60,15L/33R                      ,false
10037,BWI,T.M.01,39.180145384067394,-76.65628981424213,150.0,30,                    ,false
10038,BWI,T.M.02,39.17815596589573,-76.65602151961423,150.0,30,                    ,false
10039,BWI,T.Q.14,39.176503901195545,-76.6529278160535,150.0,30,                    ,false
10040,BWI,T.S.08,39.17610209431841,-76.65363790868481,150.0,30,                    ,false
