LinkID,LinkName,AirportCode,NodeNameFrom,NodeNameTo,Length,MaxSpeed,MinimumAircraftSeparationDistance,LinkTypeID,RunwayAssociation
0,07/25.1_07/25.2,DEN,07/25.1,07/25.2,160.459,20.000000,200.000000,30,07/25
1,07/25.2_07/25.3,DEN,07/25.2,07/25.3,567.382,20.000000,200.000000,30,07/25
2,07/25.3_07/25.4,DEN,07/25.3,07/25.4,1028.596,20.000000,200.000000,30,07/25
3,07/25.4_07/25.5,DEN,07/25.4,07/25.5,2121.298,20.000000,200.000000,30,07/25
4,07/25.5_07/25.6,DEN,07/25.5,07/25.6,1337.580,20.000000,200.000000,30,07/25
5,07/25.6_07/25.7,DEN,07/25.6,07/25.7,555.040,20.000000,200.000000,30,07/25
6,07/25.7_07/25.8,DEN,07/25.7,07/25.8,160.060,20.000000,200.000000,30,07/25
7,16R/34L.1_16R/34L.2,DEN,16R/34L.1,16R/34L.2,160.358,20.000000,200.000000,30,16R/34L
8,16R/34L.2_16R/34L.3,DEN,16R/34L.2,16R/34L.3,561.853,20.000000,200.000000,30,16R/34L
9,16R/34L.3_16R/34L.4,DEN,16R/34L.3,16R/34L.4,803.373,20.000000,200.000000,30,16R/34L
10,16R/34L.4_16R/34L.5,DEN,16R/34L.4,16R/34L.5,1398.253,20.000000,200.000000,30,16R/34L
11,16R/34L.5_16R/34L.6,DEN,16R/34L.5,16R/34L.6,744.451,20.000000,200.000000,30,16R/34L
12,16R/34L.6_16R/34L.7,DEN,16R/34L.6,16R/34L.7,529.387,20.000000,200.000000,30,16R/34L
13,16R/34L.7_16R/34L.8,DEN,16R/34L.7,16R/34L.8,525.923,20.000000,200.000000,30,16R/34L
14,16R/34L.8_16R/34L.9,DEN,16R/34L.8,16R/34L.9,732.042,20.000000,200.000000,30,16R/34L
15,16R/34L.9_16R/34L.10,DEN,16R/34L.9,16R/34L.10,505.117,20.000000,200.000000,30,16R/34L
16,16R/34L.10_16R/34L.11,DEN,16R/34L.10,16R/34L.11,1270.377,20.000000,200.000000,30,16R/34L
17,16R/34L.11_16R/34L.12,DEN,16R/34L.11,16R/34L.12,562.948,20.000000,200.000000,30,16R/34L
18,16R/34L.12_16R/34L.13,DEN,16R/34L.12,16R/34L.13,161.265,20.000000,200.000000,30,16R/34L
19,16L/34L.1_16L/34L.2,DEN,16L/34L.1,16L/34L.2,206.687,20.000000,200.000000,30,16L/34R
20,16L/34L.2_16L/34L.3,DEN,16L/34L.2,16L/34L.3,514.067,20.000000,200.000000,30,16L/34R
21,16L/34L.3_16L/34L.4,DEN,16L/34L.3,16L/34L.4,1064.987,20.000000,200.000000,30,16L/34R
22,16L/34L.4_16L/34L.5,DEN,16L/34L.4,16L/34L.5,166.001,20.000000,200.000000,30,16L/34R
23,16L/34L.5_16L/34L.6,DEN,16L/34L.5,16L/34L.6,606.185,20.000000,200.000000,30,16L/34R
24,16L/34L.6_16L/34L.7,DEN,16L/34L.6,16L/34L.7,1157.274,20.000000,200.000000,30,16L/34R
25,16L/34L.7_16L/34L.8,DEN,16L/34L.7,16L/34L.8,477.754,20.000000,200.000000,30,16L/34R
26,16L/34L.8_16L/34L.9,DEN,16L/34L.8,16L/34L.9,1037.424,20.000000,200.000000,30,16L/34R
27,16L/34L.9_16L/34L.10,DEN,16L/34L.9,16L/34L.10,487.063,20.000000,200.000000,30,16L/34R
28,16L/34L.10_16L/34L.11,DEN,16L/34L.10,16L/34L.11,237.328,20.000000,200.000000,30,16L/34R
29,08/26.1_08/26.2,DEN,08/26.1,08/26.2,160.747,20.000000,200.000000,30,08/26
30,08/26.2_08/26.3,DEN,08/26.2,08/26.3,567.642,20.000000,200.000000,30,08/26
31,08/26.3_08/26.4,DEN,08/26.3,08/26.4,1015.700,20.000000,200.000000,30,08/26
32,08/26.4_08/26.5,DEN,08/26.4,08/26.5,756.674,20.000000,200.000000,30,08/26
33,08/26.5_08/26.6,DEN,08/26.5,08/26.6,1692.994,20.000000,200.000000,30,08/26
34,08/26.6_08/26.7,DEN,08/26.6,08/26.7,1024.954,20.000000,200.000000,30,08/26
35,08/26.7_08/26.8,DEN,08/26.7,08/26.8,567.926,20.000000,200.000000,30,08/26
36,08/26.8_08/26.9,DEN,08/26.8,08/26.9,164.102,20.000000,200.000000,30,08/26
37,17L/35R.1_17L/35R.2,DEN,17L/35R.1,17L/35R.2,162.348,20.000000,200.000000,30,17L/35R
38,17L/35R.2_17L/35R.3,DEN,17L/35R.2,17L/35R.3,570.252,20.000000,200.000000,30,17L/35R
39,17L/35R.3_17L/35R.4,DEN,17L/35R.3,17L/35R.4,1018.628,20.000000,200.000000,30,17L/35R
40,17L/35R.4_17L/35R.5,DEN,17L/35R.4,17L/35R.5,1722.430,20.000000,200.000000,30,17L/35R
41,17L/35R.5_17L/35R.6,DEN,17L/35R.5,17L/35R.6,699.033,20.000000,200.000000,30,17L/35R
42,17L/35R.6_17L/35R.7,DEN,17L/35R.6,17L/35R.7,1064.250,20.000000,200.000000,30,17L/35R
43,17L/35R.7_17L/35R.8,DEN,17L/35R.7,17L/35R.8,569.877,20.000000,200.000000,30,17L/35R
44,17L/35R.8_17L/35R.9,DEN,17L/35R.8,17L/35R.9,163.090,20.000000,200.000000,30,17L/35R
45,17R/35L.1_17R/35L.2,DEN,17R/35L.1,17R/35L.2,162.534,20.000000,200.000000,30,17R/35L
46,17R/35L.2_17R/35L.3,DEN,17R/35L.2,17R/35L.3,539.419,20.000000,200.000000,30,17R/35L
47,17R/35L.3_17R/35L.4,DEN,17R/35L.3,17R/35L.4,1063.323,20.000000,200.000000,30,17R/35L
48,17R/35L.4_17R/35L.5,DEN,17R/35L.4,17R/35L.5,744.647,20.000000,200.000000,30,17R/35L
49,17R/35L.5_17R/35L.6,DEN,17R/35L.5,17R/35L.6,954.419,20.000000,200.000000,30,17R/35L
50,17R/35L.6_17R/35L.7,DEN,17R/35L.6,17R/35L.7,692.650,20.000000,200.000000,30,17R/35L
51,17R/35L.7_17R/35L.8,DEN,17R/35L.7,17R/35L.8,1014.261,20.000000,200.000000,30,17R/35L
52,17R/35L.8_17R/35L.9,DEN,17R/35L.8,17R/35L.9,616.574,20.000000,200.000000,30,17R/35L
53,17R/35L.9_17R/35L.10,DEN,17R/35L.9,17R/35L.10,164.212,20.000000,200.000000,30,17R/35L
54,07/25.1_R0.TN.1,DEN,07/25.1,R0.TN.1,299.523,20.000000,200.000000,10,
55,07/25.2_R0.TN.2,DEN,07/25.2,R0.TN.2,297.896,20.000000,200.000000,10,
56,07/25.3_R0.TN.3,DEN,07/25.3,R0.TN.3,299.525,20.000000,200.000000,10,
57,07/25.4_R0.TN.9,DEN,07/25.4,R0.TN.9,383.134,20.000000,200.000000,10,
58,07/25.5_R0.TN.11,DEN,07/25.5,R0.TN.11,369.159,20.000000,200.000000,10,
59,07/25.6_R0.TN.6,DEN,07/25.6,R0.TN.6,296.606,20.000000,200.000000,10,
60,07/25.7_R0.TN.7,DEN,07/25.7,R0.TN.7,297.151,20.000000,200.000000,10,
61,07/25.8_R0.TN.8,DEN,07/25.8,R0.TN.8,297.891,20.000000,200.000000,10,
62,R0.TN.1_R0.TN.2,DEN,R0.TN.1,R0.TN.2,162.698,20.000000,200.000000,10,
63,R0.TN.2_R0.TN.3,DEN,R0.TN.2,R0.TN.3,565.684,20.000000,200.000000,10,
64,R0.TN.3_R0.TN.4,DEN,R0.TN.3,R0.TN.4,503.229,20.000000,200.000000,10,
65,R0.TN.4_R0.TN.10,DEN,R0.TN.4,R0.TN.10,224.740,20.000000,200.000000,10,
66,R0.TN.5_R0.TN.6,DEN,R0.TN.5,R0.TN.6,827.665,20.000000,200.000000,10,
67,R0.TN.6_R0.TN.7,DEN,R0.TN.6,R0.TN.7,554.335,20.000000,200.000000,10,
68,R0.TN.7_R0.TN.8,DEN,R0.TN.7,R0.TN.8,162.009,20.000000,200.000000,10,
69,R0.TN.5_R0.C.H0,DEN,R0.TN.5,R0.C.H0,1889.480,20.000000,200.000000,10,
70,R0.TN.8_C.2,DEN,R0.TN.8,C.2,1572.826,20.000000,200.000000,10,
71,R0.C.H0_C.1,DEN,R0.C.H0,C.1,206.924,20.000000,200.000000,10,
72,C.1_C.2,DEN,C.1,C.2,166.038,20.000000,200.000000,10,
73,C.1_C.3,DEN,C.1,C.3,119.389,20.000000,200.000000,10,
74,C.2_C.3,DEN,C.2,C.3,135.200,20.000000,200.000000,10,
75,C.1_C.4,DEN,C.1,C.4,198.187,20.000000,200.000000,10,
76,C.2_C.5,DEN,C.2,C.5,206.689,20.000000,200.000000,10,
77,C.3_C.4,DEN,C.3,C.4,127.323,20.000000,200.000000,10,
78,C.3_C.5,DEN,C.3,C.5,140.015,20.000000,200.000000,10,
79,C.4_C.4,DEN,C.4,C.4,0.000,20.000000,200.000000,10,
80,C.4_H0.4,DEN,C.4,H0.4,296.939,20.000000,200.000000,10,
81,R0.C.H0_H0.1,DEN,R0.C.H0,H0.1,133.768,20.000000,200.000000,10,
82,H0.1_H0.2,DEN,H0.1,H0.2,155.039,20.000000,200.000000,10,
83,H0.2_H0.3,DEN,H0.2,H0.3,149.395,20.000000,200.000000,10,
84,H0.1_H0.7,DEN,H0.1,H0.7,175.884,20.000000,200.000000,10,
85,H0.1_H0.8,DEN,H0.1,H0.8,239.044,20.000000,200.000000,10,
86,H0.2_H0.8,DEN,H0.2,H0.8,177.204,20.000000,200.000000,10,
87,H0.2_H0.9,DEN,H0.2,H0.9,232.281,20.000000,200.000000,10,
88,H0.3_H0.9,DEN,H0.3,H0.9,168.375,20.000000,200.000000,10,
89,H0.7_H0.8,DEN,H0.7,H0.8,152.771,20.000000,200.000000,10,
90,H0.8_H0.9,DEN,H0.8,H0.9,151.211,20.000000,200.000000,10,
91,H0.7_H0.4,DEN,H0.7,H0.4,172.716,20.000000,200.000000,10,
92,H0.4_H0.8,DEN,H0.4,H0.8,227.378,20.000000,200.000000,10,
93,H0.8_H0.5,DEN,H0.8,H0.5,171.348,20.000000,200.000000,10,
94,H0.8_H0.6,DEN,H0.8,H0.6,230.426,20.000000,200.000000,10,
95,H0.9_H0.6,DEN,H0.9,H0.6,176.033,20.000000,200.000000,10,
96,H0.4_H0.5,DEN,H0.4,H0.5,150.135,20.000000,200.000000,10,
97,H0.5_H0.6,DEN,H0.5,H0.6,154.503,20.000000,200.000000,10,
98,C.4_C.5,DEN,C.4,C.5,162.418,20.000000,200.000000,10,
99,C.4_C.6,DEN,C.4,C.6,188.552,20.000000,200.000000,10,
100,C.5_C.7,DEN,C.5,C.7,186.938,20.000000,200.000000,10,
101,C.6_C.7,DEN,C.6,C.7,163.134,20.000000,200.000000,10,
102,C.5_Spot.T.1,DEN,C.5,Spot.T.1,127.670,20.000000,200.000000,10,
103,C.7_Spot.T.2,DEN,C.7,Spot.T.2,86.389,20.000000,200.000000,10,
104,Spot.T.1_T.3,DEN,Spot.T.1,T.3,208.224,20.000000,200.000000,10,
105,Spot.T.2_T.4,DEN,Spot.T.2,T.4,186.434,20.000000,200.000000,10,
106,Spot.T.1_T.3,DEN,Spot.T.1,T.3,208.224,20.000000,200.000000,10,
107,T.3_T.13,DEN,T.3,T.13,268.409,20.000000,200.000000,10,
108,T.13_T.14,DEN,T.13,T.14,243.912,20.000000,200.000000,10,
109,T.14_T.15,DEN,T.14,T.15,201.934,20.000000,200.000000,10,
110,T.4_T.3,DEN,T.4,T.3,126.205,20.000000,200.000000,10,
111,T.4_T.9,DEN,T.4,T.9,133.560,20.000000,200.000000,10,
112,T.9_T.10,DEN,T.9,T.10,375.098,20.000000,200.000000,10,
113,T.10_T.11,DEN,T.10,T.11,179.867,20.000000,200.000000,10,
114,T.11_T.12,DEN,T.11,T.12,237.746,20.000000,200.000000,10,
115,T.12_T.7,DEN,T.12,T.7,238.585,20.000000,200.000000,10,
116,T.15_T.8,DEN,T.15,T.8,395.847,20.000000,200.000000,10,
117,T.13_T.10,DEN,T.13,T.10,201.667,20.000000,200.000000,10,
118,T.14_T.11,DEN,T.14,T.11,142.279,20.000000,200.000000,10,
119,T.15_T.12,DEN,T.15,T.12,175.304,20.000000,200.000000,10,
120,H0.6_R1.TN.1,DEN,H0.6,R1.TN.1,695.936,20.000000,200.000000,10,
121,R1.TN.1_16R/34L.1,DEN,R1.TN.1,16R/34L.1,299.513,20.000000,200.000000,10,
122,R1.TN.1_R1.TN.2,DEN,R1.TN.1,R1.TN.2,158.156,20.000000,200.000000,10,
123,R1.TN.2_16R/34L.2,DEN,R1.TN.2,16R/34L.2,298.288,20.000000,200.000000,10,
124,R1.TN.2_R1.TN.3,DEN,R1.TN.2,R1.TN.3,565.864,20.000000,200.000000,10,
125,R1.TN.3_16R/34L.3,DEN,R1.TN.3,16R/34L.3,298.096,20.000000,200.000000,10,
126,R1.TN.3_R1.TN.4,DEN,R1.TN.3,R1.TN.4,800.278,20.000000,200.000000,10,
127,R1.TN.4_R1.TN.11,DEN,R1.TN.4,R1.TN.11,528.279,20.000000,200.000000,10,
128,R1.TN.11_C.10,DEN,R1.TN.11,C.10,771.511,20.000000,200.000000,10,
129,R1.TN.4_R1.TN.5,DEN,R1.TN.4,R1.TN.5,892.585,20.000000,200.000000,10,
130,R1.TN.4_16R/34L.4,DEN,R1.TN.4,16R/34L.4,298.831,20.000000,200.000000,10,
131,R1.TN.11_R1.TN.5,DEN,R1.TN.11,R1.TN.5,1034.961,20.000000,200.000000,10,
132,R1.TN.5_R1.TN.12,DEN,R1.TN.5,R1.TN.12,257.615,20.000000,200.000000,10,
133,R1.TN.5_R1.TN.13,DEN,R1.TN.5,R1.TN.13,243.525,20.000000,200.000000,10,
134,R1.TN.6_R1.TN.15,DEN,R1.TN.6,R1.TN.15,243.526,20.000000,200.000000,10,
135,R1.TN.6_16R/34L.7,DEN,R1.TN.6,16R/34L.7,299.797,20.000000,200.000000,10,
136,R1.TN.6_R1.TN.14,DEN,R1.TN.6,R1.TN.14,253.399,20.000000,200.000000,10,
137,R1.TN.6_R1.TN.16,DEN,R1.TN.6,R1.TN.16,257.842,20.000000,200.000000,10,
138,R1.TN.7_R1.TN.19,DEN,R1.TN.7,R1.TN.19,236.236,20.000000,200.000000,10,
139,R1.TN.7_16R/34L.10,DEN,R1.TN.7,16R/34L.10,300.351,20.000000,200.000000,10,
140,R1.TN.7_R1.TN.8,DEN,R1.TN.7,R1.TN.8,1269.822,20.000000,200.000000,10,
141,R1.TN.8_16R/34L.11,DEN,R1.TN.8,16R/34L.11,299.517,20.000000,200.000000,10,
142,R1.TN.8_R1.TN.9,DEN,R1.TN.8,R1.TN.9,562.765,20.000000,200.000000,10,
143,R1.TN.9_16R/34L.12,DEN,R1.TN.9,16R/34L.12,299.380,20.000000,200.000000,10,
144,R1.TN.9_R1.TN.10,DEN,R1.TN.9,R1.TN.10,163.630,20.000000,200.000000,10,
145,R1.TN.10_16R/34L.13,DEN,R1.TN.10,16R/34L.13,302.716,20.000000,200.000000,10,
146,R1.TN.10_16L/34L.10,DEN,R1.TN.10,16L/34L.10,998.167,20.000000,200.000000,10,
147,R1.TN.7_16L/34L.7,DEN,R1.TN.7,16L/34L.7,997.783,20.000000,200.000000,10,
