LinkID,LinkName,AirportCode,NodeNameFrom,NodeNameTo,Length,LinkTypeID,RunwayAssociation
1,07L/25R.11_07L/25R.12,PHX,07L/25R.11,07L/25R.12,1407.511,30,07L/25R
2,07L/25R.12_07L/25R.13,PHX,07L/25R.12,07L/25R.13,399.0982959972,30,07L/25R
3,07L/25R.3_07L/25R.4,PHX,07L/25R.3,07L/25R.4,466.126,30,07L/25R
4,07L/25R.4_07L/25R.5,PHX,07L/25R.4,07L/25R.5,1664.778,30,07L/25R
5,07L/25R.5_07L/25R.6,PHX,07L/25R.5,07L/25R.6,1309.78,30,07L/25R
6,07L/25R.6_07L/25R.7,PHX,07L/25R.6,07L/25R.7,995.2635161902,30,07L/25R
7,07L/25R.7_07L/25R.8,PHX,07L/25R.7,07L/25R.8,785.1237772979,30,07L/25R
8,07L/25R.8_07L/25R.9,PHX,07L/25R.8,07L/25R.9,824.474,30,07L/25R
9,07L/25R.9_07L/25R.10,PHX,07L/25R.9,07L/25R.10,917.029,30,07L/25R
10,07R/25L.n1_07R/25L.nH2,PHX,07R/25L.n1,07R/25L.nH2,299.282,30,07R/25L
11,07R/25L.n3_07R/25L.n4,PHX,07R/25L.n3,07R/25L.n4,1073.0318739448,30,07R/25L
12,07R/25L.n4_07R/25L.n5,PHX,07R/25L.n4,07R/25L.n5,1374.5217183048,30,07R/25L
14,07R/25L.n7_07R/25L.n8,PHX,07R/25L.n7,07R/25L.n8,901.2402873155,30,07R/25L
15,07R/25L.nG2_07R/25L.n3,PHX,07R/25L.nG2,07R/25L.n3,928.2047372257,30,07R/25L
16,07R/25L.nG6_07R/25L.nH6,PHX,07R/25L.nG6,07R/25L.nH6,574.9090018921,30,07R/25L
17,07R/25L.nH2_07R/25L.nG2,PHX,07R/25L.nH2,07R/25L.nG2,493.695350945,30,07R/25L
18,07R/25L.nH6_07R/25L.n7,PHX,07R/25L.nH6,07R/25L.n7,310.9447229535,30,07R/25L
19,08/26.1_08/26.2,PHX,08/26.1,08/26.2,340.7380417103,30,08/26
21,08/26.11_08/26.12,PHX,08/26.11,08/26.12,1437.956,30,08/26
22,08/26.12_08/26.13,PHX,08/26.12,08/26.13,351.0073737054,30,08/26
23,08/26.2_08/26.3,PHX,08/26.2,08/26.3,544.986,30,08/26
24,08/26.3_08/26.4,PHX,08/26.3,08/26.4,1756.8932647707,30,08/26
25,08/26.4_08/26.5,PHX,08/26.4,08/26.5,950.4802013814,30,08/26
26,08/26.5_08/26.6,PHX,08/26.5,08/26.6,724.1330059482,30,08/26
29,08/26.8_08/26.9,PHX,08/26.8,08/26.9,579.012159574,30,08/26
30,08/26.9_08/26.10,PHX,08/26.9,08/26.10,897.0358708453,30,08/26
31,B.n1_B.n2,PHX,B.n1,B.n2,401.618,10,null
34,B.n12_B.n13,PHX,B.n12,B.n13,400.675,10,null
35,B.n13_B.n14,PHX,B.n13,B.n14,298.9653586903,10,null
36,B.n14_B.n15,PHX,B.n14,B.n15,348.8972385317,10,null
37,B.n2_B.n3,PHX,B.n2,B.n3,509.361,10,null
38,B.n3_B.n4,PHX,B.n3,B.n4,1486.4215816233,10,null
39,B.n4_B.n5,PHX,B.n4,B.n5,918.5185998427,10,null
43,B.n8_Taxiway Intersection (24),PHX,B.n8,Taxiway Intersection (24),495.7558255619,10,null
45,B.n1_08/26.1,PHX,B.n1,08/26.1,365.0666730262,10,null
48,B.n12_08/26.12,PHX,B.n12,08/26.12,398.397,10,null
49,B.n13_08/26.13,PHX,B.n13,08/26.13,345.9507356493,10,null
50,B.n2_08/26.2,PHX,B.n2,08/26.2,406.782,10,null
51,B.n3_08/26.3,PHX,B.n3,08/26.3,412.442,10,null
52,B.n4_08/26.4,PHX,B.n4,08/26.4,464.1564329112,10,null
58,C.n1_C.n2,PHX,C.n1,C.n2,365.545,10,null
60,C.n2_C.n3,PHX,C.n2,C.n3,514.839,10,null
61,C.n3_Taxiway Intersection (27),PHX,C.n3,Taxiway Intersection (27),257.0771012007,10,null
62,C.n4_C.n5,PHX,C.n4,C.n5,1039.727,10,null
63,C.n5_C.n6,PHX,C.n5,C.n6,949.911,10,null
64,C.n6_Taxiway Intersection (28),PHX,C.n6,Taxiway Intersection (28),290.182,10,null
65,C.n7_Taxiway Intersection (44),PHX,C.n7,Taxiway Intersection (44),203.747,10,null
68,C.nB13_B.n13,PHX,C.nB13,B.n13,149.8858914624,10,null
69,C.nB4_C.n4,PHX,C.nB4,C.n4,988.88,10,null
70,C.nB4_B.n4,PHX,C.nB4,B.n4,227.3939750011,10,null
