LinkID,LinkName,AirportCode,NodeNameFrom,NodeNameTo,Length,MaxSpeed,MinimumAircraftSeparationDistance,LinkTypeID,RunwayAssociation
45,B.n1_08/26.1,PHX,B.n1,08/26.1,365.066673,20,200,10,null
48,B.n12_08/26.12,PHX,B.n12,08/26.12,398.397,20,200,10,null
49,B.n13_08/26.13,PHX,B.n13,08/26.13,345.9507356,20,200,10,null
50,B.n2_08/26.2,PHX,B.n2,08/26.2,406.782,20,200,10,null
51,B.n3_08/26.3,PHX,B.n3,08/26.3,412.442,20,200,10,null
52,B.n4_08/26.4,PHX,B.n4,08/26.4,464.1564329,20,200,10,null
135,07L/25R.3_E.n3,PHX,07L/25R.3,E.n3,392.919,20,200,10,null
136,07L/25R.4_E.n4,PHX,07L/25R.4,E.n4,405.431,20,200,10,null
137,07L/25R.5_E.n5,PHX,07L/25R.5,E.n5,390.167,20,200,10,null
138,07L/25R.6_E.n6,PHX,07L/25R.6,E.n6,388.186,20,200,10,null
156,F.n10_07L/25R.10,PHX,F.n10,07L/25R.10,397.856,20,200,10,null
157,F.n11_07L/25R.11,PHX,F.n11,07L/25R.11,342.4086187,20,200,10,null
158,F.n12_07L/25R.12,PHX,F.n12,07L/25R.12,413.734,20,200,10,null
159,F.n13_07L/25R.13,PHX,F.n13,07L/25R.13,327.9210543,20,200,10,null
160,F.n3_07L/25R.3,PHX,F.n3,07L/25R.3,401.308,20,200,10,null
161,F.n4_07L/25R.4,PHX,F.n4,07L/25R.4,402.57,20,200,10,null
163,F.n8_07L/25R.8,PHX,F.n8,07L/25R.8,353.1378395,20,200,10,null
165,F.n3_07R/25L.n1,PHX,F.n3,07R/25L.n1,398.427,20,200,10,null
168,F.nG4_07R/25L.n4,PHX,F.nG4,07R/25L.n4,342.2802954,20,200,10,null
169,F.n5_07R/25L.n5,PHX,F.n5,07R/25L.n5,514.989,20,200,10,null
170,F.nG6_07R/25L.nG6,PHX,F.nG6,07R/25L.nG6,592.41,20,200,10,null
