nodeID,airportCode,nodeName,latitude,longitude,diameterInFeet,nodeTypeID,runwayAssociation,spotFlag
0,PHX,07L/25R.10,33.431065,-112.003238,150,60,07L/25R,0
1,PHX,07L/25R.11,33.43105,-111.999631,150,60,07L/25R,0
2,PHX,07L/25R.12,33.431054,-111.995008,150,60,07L/25R,0
3,PHX,07L/25R.13,33.4310429896,-111.9934985241,150,60,07L/25R,0
4,PHX,07L/25R.3,33.431082,-112.026993,150,60,07L/25R,0
5,PHX,07L/25R.4,33.431082,-112.025462,150,60,07L/25R,0
6,PHX,07L/25R.5,33.431077,-112.019994,150,60,07L/25R,0
7,PHX,07L/25R.6,33.431081,-112.015692,150,60,07L/25R,0
8,PHX,07L/25R.7,33.4310629983,-112.0119276167,150,60,07L/25R,0
9,PHX,07L/25R.8,33.431059,-112.008958,150,60,07L/25R,0
10,PHX,07L/25R.9,33.431062,-112.00625,150,60,07L/25R,0
11,PHX,07R/25L.n1,33.42889,-112.026977,136,60,07R/25L,0
12,PHX,07R/25L.n3,33.4288780007,-112.0206161033,136,60,07R/25L,0
13,PHX,07R/25L.n4,33.4288699964,-112.0165576243,136,60,07R/25L,0
14,PHX,07R/25L.n5,33.428834,-112.011359,136,60,07R/25L,0
15,PHX,07R/25L.n7,33.4288769563,-112.0052027187,136,60,07R/25L,0
16,PHX,07R/25L.n8,33.42887,-112.001794,136,60,07R/25L,0
17,PHX,07R/25L.nG2,33.4288979977,-112.0241267378,136,60,07R/25L,0
18,PHX,07R/25L.nG6,33.428843,-112.008553,136,60,07R/25L,0
19,PHX,07R/25L.nH2,33.42889,-112.025994,136,60,07R/25L,0
20,PHX,07R/25L.nH6,33.4288630432,-112.0063786754,136,60,07R/25L,0
21,PHX,08/26.1,33.4409020008,-112.0296596703,125,60,08/26,0
22,PHX,08/26.10,33.4408542527,-112.0017538101,125,60,08/26,0
23,PHX,08/26.11,33.440844,-111.998316,125,60,08/26,0
24,PHX,08/26.12,33.440846,-111.993593,125,60,08/26,0
25,PHX,08/26.13,33.4408390118,-111.9922652407,125,60,08/26,0
26,PHX,08/26.2,33.44088,-112.028371,125,60,08/26,0
27,PHX,08/26.3,33.440887,-112.026581,125,60,08/26,0
28,PHX,08/26.4,33.4408470059,-112.0199352196,125,60,08/26,0
29,PHX,08/26.5,33.4408454445,-112.0163397565,125,60,08/26,0
30,PHX,08/26.6,33.4408448085,-112.0136005161,125,60,08/26,0
31,PHX,08/26.7,33.4408449999,-112.0104866134,125,60,08/26,0
32,PHX,08/26.8,33.4408327136,-112.0073372787,125,60,08/26,0
33,PHX,08/26.9,33.440832,-112.005147,125,60,08/26,0
34,PHX,B.n1,33.43975,-112.029694,94,30,null,0
35,PHX,B.n10,33.4397309986,-112.0008053996,94,30,null,0
36,PHX,B.n11,33.4397450016,-111.9983802036,94,30,null,0
37,PHX,B.n12,33.439754,-111.993585,94,30,null,0
38,PHX,B.n13,33.439747,-111.992269,94,30,null,0
39,PHX,B.n14,33.4397395666,-111.991138127,94,30,null,0
40,PHX,B.n15,33.4408406043,-111.9911678576,125,30,null,0
41,PHX,B.n2,33.439765,-112.028375,94,30,null,0
42,PHX,B.n3,33.439761,-112.026702,94,30,null,0
43,PHX,B.n4,33.4397356361,-112.0210793382,94,30,null,0
44,PHX,B.n5,33.4397766769,-112.0176051706,94,30,null,0
45,PHX,B.n6,33.4398096287,-112.0141970485,94,30,null,0
46,PHX,B.n7,33.439796,-112.011132,94,30,null,0
47,PHX,B.n8,33.4397850797,-112.0065513197,94,30,null,0
48,PHX,B.n9,33.4397414944,-112.0039311082,94,30,null,0
49,PHX,B.nC10,33.4397816767,-111.9958218555,94,30,null,0
50,PHX,C.n1,33.43912,-112.029594,94,30,null,0
51,PHX,C.n10,33.4390666431,-111.9957322455,94,30,null,0
52,PHX,C.n2,33.439032,-112.028398,94,30,null,0
53,PHX,C.n3,33.439033,-112.026707,94,30,null,0
54,PHX,C.n4,33.439023,-112.017719,94,30,null,0
55,PHX,C.n5,33.439017,-112.014304,94,30,null,0
56,PHX,C.n6,33.439013,-112.011184,94,30,null,0
57,PHX,C.n7,33.439014,-112.007342,94,20,null,0
58,PHX,C.n8,33.4390586943,-112.0005836969,94,30,null,0
59,PHX,C.n9,33.4390519127,-111.9982097594,94,30,null,0
60,PHX,C.nB13,33.4392741193,-111.9922508083,94,30,null,0
61,PHX,C.nB4,33.439024,-112.020967,94,30,null,0
62,PHX,C.nS,33.439059,-112.003797,94,30,null,0
63,PHX,C.nT,33.4390269946,-112.004658637,94,30,null,0
64,PHX,D.n1,33.432892,-112.026993,94,30,null,0
65,PHX,D.n10,33.432845,-112.000458,94,30,null,0
66,PHX,D.n11,33.432841,-111.998064,94,30,null,0
67,PHX,D.n12,33.432837,-111.99558,94,30,null,0
68,PHX,D.n13,33.432831,-111.993301,94,30,null,0
69,PHX,D.n2,33.432894,-112.024513,94,30,null,0
70,PHX,D.n3,33.432884,-112.022606,94,30,null,0
71,PHX,D.n4,33.432893,-112.021493,94,30,null,0
72,PHX,D.n5,33.43289,-112.01812,94,30,null,0
73,PHX,D.n6,33.432869,-112.015281,94,30,null,0
74,PHX,D.n7,33.432865,-112.012103,94,30,null,0
75,PHX,D.n8,33.432889,-112.010039,94,30,null,0
76,PHX,D.n9,33.432885,-112.007568,94,30,null,0
77,PHX,D.nS,33.43287,-112.003828,94,30,null,0
78,PHX,E.n10,33.4321340006,-112.0025387567,94,30,null,0
79,PHX,E.n11,33.432128,-111.999529,94,30,null,0
80,PHX,E.n12,33.432116,-111.994516,94,30,null,0
81,PHX,E.n13,33.432136,-111.993487,94,30,null,0
82,PHX,E.n3,33.432159,-112.026989,94,30,null,0
83,PHX,E.n4,33.432167,-112.025174,94,30,null,0
84,PHX,E.n5,33.432145,-112.019927,94,30,null,0
